Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Oberwirtskeller,restaurant,"Kirchweg - Via Chiesa, 39010, Riffian - Rifiano",46.702604,11.180069,,72
Löwenwirt,restaurant,"Jaufenstraße - Via Passo Giovo, 39010, Riffian - Rifiano",46.701933,11.180704,,12
Pizzeria + Eisdiele Pircher,restaurant,Adresse unbekannt,46.701353,11.177201,,239
Drinking_water,drinking_water,Adresse unbekannt,46.701458,11.180384,,12
My little bakery,bakery,Adresse unbekannt,46.701462,11.180033,,14
MPREIS,supermarket,"Jaufenstraße - Via Giovo, 61, 39010, Riffian - Rifiano",46.705385,11.184336,,20
Pension Restaurant Weinberg,restaurant,"Kirchweg - Via Chiesa, 20, 39010, Riffian - Rifiano",46.706595,11.183309,,184
Luferkeller,restaurant,Adresse unbekannt,46.710404,11.189332,,199
Drinking_water,drinking_water,Adresse unbekannt,46.707650,11.189521,,236
Saltauser Hof,restaurant,Adresse unbekannt,46.729358,11.200739,,23
Drinking_water,drinking_water,Adresse unbekannt,46.729373,11.200538,,7
Restaurant,restaurant,Adresse unbekannt,46.728214,11.202088,,219
Pizzeria,restaurant,Adresse unbekannt,46.729895,11.200817,,13
Drinking_water,drinking_water,Adresse unbekannt,46.730220,11.200444,,23
Drinking_water,drinking_water,Adresse unbekannt,46.730057,11.200485,,21
Restaurant Quellenhof,restaurant,Adresse unbekannt,46.746925,11.206784,,22
Despar,supermarket,Adresse unbekannt,46.779588,11.225412,,27
Drinking_water,drinking_water,Adresse unbekannt,46.784648,11.227787,,153
Psairer Beck,bakery,28,46.784077,11.227605,,140
C+C Supermarket Passeier,supermarket,Adresse unbekannt,46.784781,11.227692,,169
Gasthaus Lamm,restaurant,Adresse unbekannt,46.784611,11.227669,,162
Gasthof Jager Hans,restaurant,Adresse unbekannt,46.780640,11.226279,,50
Drinking_water,drinking_water,Adresse unbekannt,46.784832,11.227722,,169
Drinking_water,drinking_water,Adresse unbekannt,46.784946,11.227545,,192
Drinking_water,drinking_water,Adresse unbekannt,46.784032,11.227523,,144
Cafe - Restaurant Pfandleralm,restaurant,Adresse unbekannt,46.785136,11.229395,,31
Pizzeria&Pub Forelle,restaurant,Adresse unbekannt,46.785858,11.230563,,19
Grillstube Königsrainer,restaurant,Adresse unbekannt,46.785502,11.228818,,107
Eis-Cafe Margareth,cafe,Adresse unbekannt,46.785315,11.228417,,133
Drinking_water,drinking_water,Adresse unbekannt,46.784548,11.230798,,134
Cafe Bistro Platzl,cafe,Adresse unbekannt,46.785135,11.227748,,184
Bike Shop,bicycle,"Holzlände, 87, 39010, St. Martin in Passeier - San Martino in Passiria",46.792104,11.232355,,183
Frischmarkt Raffl,supermarket,Adresse unbekannt,46.790335,11.232220,,160
Drinking_water,drinking_water,Adresse unbekannt,46.802217,11.237197,,160
Sandwirt,restaurant,Adresse unbekannt,46.801457,11.238749,,29
Drinking_water,drinking_water,Adresse unbekannt,46.800692,11.237392,,72
Drinking_water,drinking_water,Adresse unbekannt,46.801644,11.238892,,28
Fischerverein Passeier,cafe,Adresse unbekannt,46.800493,11.237513,,52
Klotz,restaurant,Adresse unbekannt,46.803030,11.241334,,34
Frickhof,restaurant,"Passeirer Straße - Via Passiria, 31, 39015",46.811527,11.246858,,8
Brühwirt,restaurant,"Kirchweg - Via Chiesa, 31, 39015, St. Leonhard in Passeier - San Leonardo in Passiria",46.810331,11.245885,,58
Bäckerei Ploner,bakery,"Passeirer Straße - Via Passiria, 39015, St. Leonhard in Passeier - San Leonardo in Passiria",46.811220,11.246306,,0
Sonnenhof,restaurant,Adresse unbekannt,46.809434,11.248318,,242
Wiesenhof,restaurant,Adresse unbekannt,46.808169,11.244955,,50
Despar,supermarket,Adresse unbekannt,46.811134,11.246057,,11
Drinking_water,drinking_water,Adresse unbekannt,46.811971,11.246026,,83
Drinking_water,drinking_water,Adresse unbekannt,46.811998,11.247302,,7
Bio- + Reformhaus Hofer,supermarket,Adresse unbekannt,46.811881,11.246076,,73
Koblerbrot - Bäckerei + Cafe,bakery,"Kohlstatt - Via dei Carbonai, 39015, St. Leonhard in Passeier - San Leonardo in Passiria",46.811930,11.245551,,109
Cafe - Restaurant Tirolerhof,restaurant,"Kohlstatt - Via dei Carbonai, 7, 39015, St. Leonhard in Passeier - San Leonardo in Passiria",46.811993,11.246629,,47
Dorf Cafe,cafe,Adresse unbekannt,46.812435,11.246314,,22
Drinking_water,drinking_water,Adresse unbekannt,46.811905,11.247022,,18
Felseneck,restaurant,Adresse unbekannt,46.812298,11.247200,,17
Eisdiele Pichler,cafe,Adresse unbekannt,46.812650,11.244056,,74
Gasthof Peter,restaurant,Adresse unbekannt,46.813567,11.247009,,123
Stroblhof,restaurant,Adresse unbekannt,46.811681,11.247296,,18
Zentral,restaurant,Adresse unbekannt,46.811941,11.247443,,21
Restaurant Theis,restaurant,Adresse unbekannt,46.812298,11.247047,,4
Martl,restaurant,"Passeirerstraße, 31",46.811633,11.247042,,9
Passeirer Weinstube,restaurant,"Mooser Straße - Via Moso, 26, 39015, St. Leonhard in Passeier - San Leonardo in Passiria",46.816128,11.242063,,236
Sportarena Passeier,restaurant,Adresse unbekannt,46.815905,11.241032,,271
Gasthof Schlossberg,restaurant,Adresse unbekannt,46.819786,11.258206,,12
Unterer Obereggerhof,restaurant,Adresse unbekannt,46.825113,11.270987,,70
