Name,Typ,Adresse,Latitude,Longitude
Drinking_water,drinking_water,Adresse unbekannt,43.3232907,11.3231971
La Vecchia Stazione,restaurant,"Viale Giuseppe Mazzini, 14, 53100, Siena",43.3261535,11.3316729
Bonucci Boulangerie,restaurant,"La Lizza, 14/17, 53100, Siena",43.3232031,11.3279856
Oro Di Siena,restaurant,"Via Giuseppe Garibaldi, 61, 53100, Siena",43.3247669,11.3313364
Ristorante da Enzo,restaurant,"Via Camollia, 49, 53100, Siena",43.3243231,11.3277537
Pizzeria L'Egiziano,restaurant,"Via Camollia, 59, 53100, Siena",43.3244287,11.3277109
Osteria Ficamaschia,restaurant,"Via Camollia, 101, 53100, Siena",43.3256561,11.3269911
Quel Che Antico Bistrot,restaurant,"Costa dei Paparoni, 2, 53100, Siena",43.3260221,11.3268854
Osteria Il Vinaio,restaurant,"Via Camollia, 167, 53100, Siena",43.326334,11.3262215
Spaghetteria Pasta Mondo,restaurant,"Via Camollia, 173, 53100, Siena",43.3264668,11.326121
Pizzeria da Carmine,restaurant,"Via Camollia, 192, 53100, Siena",43.3270843,11.3258693
Bakery,bakery,"1, 53100, Siena",43.327296,11.3255728
Bar Pegaso,cafe,"Viale Giuseppe Mazzini, 81, 53100, Siena",43.3278762,11.3287233
Pam,supermarket,"21, 53100, Siena",43.3306323,11.3233159
Pasticceria Buti,cafe,"Viale Vittorio Emanuele Secondo, 53, 53100, Siena",43.3280879,11.3237702
Snack Bar,cafe,"Viale Vittorio Emanuele II, 64, 53100, Siena",43.328916,11.3220357
Bar Perù,cafe,"Viale Vittorio Emanuele Secondo, 9, 53100, Siena",43.3277717,11.3247075
Drinking_water,drinking_water,Adresse unbekannt,43.3285037,11.3225588
Capricci di Pizza,restaurant,"Viale Vittorio Emanuele Secondo, 5, 53100, Siena",43.3276939,11.3249553
Ravioli Wang,restaurant,"Viale Vittorio Emanuele Secondo, 38, 53100, Siena",43.328486,11.3232625
Bar Impero,cafe,"Viale Vittorio Emanuele Secondo, 10, 53100, Siena",43.3282643,11.3240082
I Gabellieri,restaurant,"Viale Vittorio Emanuele Secondo, 75, 53100, Siena",43.3286889,11.3216275
Komori Sushi,restaurant,"Viale Vittorio Emanuele Secondo, 30, 53100, Siena",43.3283676,11.3236633
Premiata Braceria Toscana,restaurant,"Piazzale Carlo Rosselli, 19, 53100, Siena",43.3309975,11.3242533
S. Rosalia,bakery,"Viale Vittorio Emanuele Secondo, 53100, Siena",43.3278288,11.3245356
Nannini,cafe,"Viale Vittorio Emanuele Secondo, 9, 53100, Siena",43.3277215,11.3248617
Anima Toscana Bike Tours,bicycle,"Viale Vittorio Emanuele Secondo, 67, 53100, Siena",43.3285902,11.3219581
POKE INN,restaurant,"Viale Vittorio Emanuele Secondo, 69, 53100, Siena",43.3286327,11.3218309
Pizzeria Antiporto,restaurant,"Viale Camillo Benso di Cavour, 27, 53100, Siena",43.329251,11.3205817
Drinking_water,drinking_water,Adresse unbekannt,43.3310918,11.3246676
All'Osteria,restaurant,"Viale Camillo Benso di Cavour, 7, 53100, Siena",43.3290943,11.3209134
Siena Bike Shop,bicycle,"Via Nino Bixio, 30, 53100, Siena",43.3284736,11.3277854
Bar Pegaso,cafe,"Viale Giuseppe Mazzini, 129, 53100, Siena",43.3290833,11.3271339
Cafe,cafe,"Strada delle Grondaie, 1, 53100, Siena",43.3304002,11.3284498
Officina dei Dolci,restaurant,"Strada del Paradiso, 1;3;5, 53100, Siena",43.3306843,11.3272188
Conad City,supermarket,"Viale Goffredo Mameli, 60;62, 53100, Siena",43.3298845,11.3176447
