Latitude,Longitude,Street,City,Surface,Tracktype,Highway,Smoothness,OSM_Way_ID
42.845576,10.783807,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.846412,10.789156,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.847557,10.792037,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.847732,10.794967,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.847627,10.795737,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.848029,10.797594,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.848317,10.798089,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.851554,10.801161,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.851634,10.801393,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.851214,10.808808,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.850624,10.810109,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.850683,10.810239,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.844791,10.814797,Via delle Collacchie,Castiglione della Pescaia,unknown,,,,
42.843519,10.815600,Via delle Collacchie,Castiglione della Pescaia,unknown,,,,
42.840051,10.816900,Via delle Collacchie,Castiglione della Pescaia,unknown,,,,
